N,ID,New Point?,lon,lat,transit_dist_1,transit_dist_2,transit_dist_3,transit_score1,transit_score2,transit_score3,transit_score_std,prc.latino.std,dens.cvap.std,prc_asian_std,prc_AmInd_std,prc.youth.std,prc.nonEngProf.std,prc.pov.std,prc.disabled.std,prc.CarAccess.std,rate.vbm.std,prc.ElNonReg.std,dens_poll_std,dens.work.std,popDens.std,center_score,dropoff_score,dens_poll_std_0_3,wtd_center_score,cost_adjustment
1258,2897,,-121.3632928,38.55396101,0.355794604,0.367716851,0.313005912,1.0,1.0,1.0,1.036517367,0.512658228,0.784810127,0.484177215,0.112179487,0.977848101,0.313291139,0.436708861,0.300632911,0.579113924,0.586813187,0.392405063,0.750377453,0.151815182,0.546498796,0.562444267,0.563444503,0.750377453,0.422045497,0.5
1307,1849,,-121.3792105,38.41634322,3.12108339,3.129648069,3.260180057,1.0,1.0,1.0,0.0,0.610759494,0.879746835,0.262658228,0.705128205,0.490506329,0.082278481,0.313291139,0.958860759,0.658227848,0.334065934,0.370253165,0.895822849,0.887788779,0.702046549,0.523180626,0.510185145,0.895822849,0.468677159,0.5
1315,1687,,-121.3695928,38.39475229,4.694340173,4.699850291,4.83442988,1.0,1.0,1.0,0.0,0.579113924,0.933544304,0.515822785,0.599358974,0.528481013,0.405063291,0.759493671,0.509493671,0.443037975,0.761538462,0.215189873,0.763965778,0.797579758,0.651284109,0.53648441,0.530215493,0.763965778,0.409855729,0.5
1327,2174,,-121.3615685,38.4599441,1.665916015,1.692105932,1.796098704,1.0,1.0,1.0,0.0,0.522151899,0.825949367,0.958860759,0.298076923,0.370253165,0.825949367,0.287974684,0.205696203,0.367088608,0.105494505,0.351265823,0.885757423,0.750275028,0.823786116,0.465194872,0.456494911,0.885757423,0.412049811,0.5
1339,2338,,-121.3804186,38.48143095,0.787602179,0.799274962,0.985528016,1.0,1.0,1.0,0.0,0.503164557,0.325949367,0.96835443,0.259615385,0.272151899,0.943037975,0.484177215,0.272151899,0.560126582,0.514285714,0.357594937,0.655762456,0.276127613,0.653441011,0.444169002,0.449460254,0.655762456,0.291269355,0.75
1355,2171,,-121.3892392,38.45962933,0.641432062,0.684311507,0.920145644,1.0,1.0,1.0,0.0,0.64556962,0.810126582,0.911392405,0.041666667,0.816455696,0.753164557,0.348101266,0.398734177,0.151898734,0.315384615,0.71835443,0.84046301,0.308030803,0.396217897,0.44755061,0.434593751,0.84046301,0.376149733,0.5
1358,2066,,-121.3981906,38.44505909,0.885089011,0.893087727,1.025209051,1.0,1.0,1.0,0.0,0.398734177,1.0,0.984177215,0.46474359,0.753164557,0.756329114,0.405063291,0.338607595,0.180379747,0.349450549,0.787974684,0.848012079,0.491749175,0.649026886,0.487597221,0.475136132,0.848012079,0.413488333,0.5
1413,1853,,-121.3423376,38.41675844,4.4386138,4.479264332,4.676929311,1.0,1.0,1.0,0.0,0.268987342,0.952531646,0.901898734,0.403846154,0.367088608,0.446202532,0.155063291,0.183544304,0.170886076,0.271428571,0.547468354,0.778057373,0.370737074,0.778741974,0.393519271,0.384124329,0.778057373,0.30618057,0.75
1472,1754,,-121.2499106,38.40328316,8.51663884,9.031171306,9.427277196,1.0,0.75,0.75,0.0,0.262658228,0.841772152,0.151898734,0.833333333,0.215189873,0.085443038,0.316455696,0.636075949,0.085443038,0.157142857,0.056962025,0.71716155,0.509350935,0.25391252,0.259195821,0.256876878,0.71716155,0.185885277,1.25
1599,814,,-121.2939811,38.28708658,13.18623133,13.19496802,13.32493972,1.0,1.0,1.0,0.0,0.930379747,0.996835443,0.275316456,0.25,0.398734177,0.537974684,0.351265823,0.357594937,0.120253165,0.382417582,0.490506329,0.992450931,0.658965897,0.698384831,0.475848518,0.464784755,0.992450931,0.472256305,0.5
1640,598,,-121.3118763,38.25796035,14.64501689,14.48665743,14.64569043,1.0,1.0,1.0,0.0,0.92721519,0.949367089,0.022151899,0.163461538,0.882911392,0.303797468,0.474683544,0.610759494,0.319620253,0.643956044,0.702531646,0.890286865,0.286028603,0.48826244,0.535797388,0.516938179,0.890286865,0.477013377,0.5
1654,2273,,-121.4540861,38.47333406,0.064341206,0.096562686,0.17434967,1.0,1.0,1.0,0.335253562,0.791139241,0.734177215,0.962025316,0.195512821,0.57278481,0.886075949,0.658227848,0.765822785,0.376582278,0.879120879,0.477848101,0.775037745,0.363036304,0.547903291,0.593016276,0.606378937,0.775037745,0.459609998,0.5
1657,2220,,-121.4262718,38.46643173,0.070127499,0.097626185,0.13979197,1.0,1.0,1.0,0.307545654,0.639240506,0.886075949,0.765822785,0.381410256,0.971518987,0.819620253,0.784810127,0.92721519,0.85443038,0.46043956,0.886075949,0.762455964,0.486248625,0.764145265,0.700773213,0.69275193,0.762455964,0.534308715,0.5
1682,2010,,-121.4349376,38.43739492,1.125263977,1.14686428,1.252987407,1.0,1.0,1.0,0.0,0.465189873,0.930379747,0.800632911,0.0,0.518987342,0.724683544,0.512658228,0.32278481,0.240506329,0.114285714,0.721518987,0.773527932,0.248624862,0.370786517,0.424370293,0.405314491,0.773527932,0.328262275,0.75
1707,1952,,-121.4532376,38.42994272,2.286303681,2.288987514,2.301675434,1.0,1.0,1.0,0.0,0.360759494,0.569620253,0.851265823,0.189102564,0.683544304,0.784810127,0.300632911,0.613924051,0.028481013,0.418681319,0.474683544,0.876195269,0.935093509,0.412269262,0.444688447,0.444545066,0.876195269,0.389633914,0.5
1719,1784,,-121.4712478,38.40802411,3.978719225,3.990804675,4.007853109,1.0,1.0,1.0,0.0,0.32278481,0.917721519,0.778481013,0.243589744,0.278481013,0.208860759,0.009493671,0.110759494,0.256329114,0.285714286,0.129746835,0.997986915,0.630363036,0.371739567,0.28340462,0.273089937,0.997986915,0.282834103,0.75
1721,1625,,-121.4431758,38.38666214,4.637099346,4.658154931,4.605075639,1.0,1.0,1.0,0.0,0.420886076,0.993670886,0.892405063,0.509615385,0.560126582,0.683544304,0.21835443,0.5,0.063291139,0.234065934,0.661392405,0.894313035,0.397139714,0.518007624,0.441602301,0.431935493,0.894313035,0.394930694,0.5
